snapshot_time,product_id,sellPrice,buyPrice,sellVolume,buyVolume,sellMovingWeek,buyMovingWeek,sellOrders,buyOrders
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_5,1593916.402650177,2088190.1379310344,27621,1182,7084,6092,1042,236
2025-04-28 18:24:02,ENCHANTMENT_TURBO_MELON_2,13000.0,104412.4,23,154,168,133,1,50
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_4,621364.1492424242,1099998.55,24546,63,829,589,666,38
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_3,282211.69179810723,582494.55,6324,52,621,378,173,36
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_2,81035.07551020409,257500.1,5848,47,480,302,161,34
2025-04-28 18:24:02,AMBER_MATERIAL,1600000.4846153844,2936972.58,566,53,31,185,126,16
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_1,200000.2125560538,361919.65,2123,61,617,352,36,49
2025-04-28 18:24:02,FINE_TOPAZ_GEM,27051.238767916206,27981.439662583278,222899,53865,639445,250535,63,95
2025-04-28 18:24:02,CARROT_BAIT,109.23920235408393,389.7639112588975,1302225,429772,453001,865595,51,230
2025-04-28 18:24:02,FINE_RUBY_GEM,20220.744227516014,21186.25653867557,764357,57960,596820,452337,303,44
2025-04-28 18:24:02,HYPERGOLIC_IONIZED_CERAMICS,2001.1,3778.860045146727,85502,12802,17294,3479,20,175
2025-04-28 18:24:02,THUNDER_SHARDS,95899.6585640333,162335.4647249191,192840,10265,75729,71746,124,130
2025-04-28 18:24:02,HAY_BLOCK,0.0,0.0,0,0,0,0,0,0
2025-04-28 18:24:02,ENCHANTED_ROTTEN_FLESH,801.3979807807649,910.0,7054458,2676350,15822534,7702208,327,423
2025-04-28 18:24:02,ENCHANTED_GRILLED_PORK,123403.92922946496,127999.69640616086,83004,62108,56717,43496,20,162
2025-04-28 18:24:02,WISHING_COMPASS,0.0,0.4999134848699907,0,5273562,2230692,892897,0,320
2025-04-28 18:24:02,ENCHANTED_ANCIENT_CLAW,3007.8300310637915,3798.979705027005,5707608,177269,326596,154416,319,935
2025-04-28 18:24:02,BRIMSTONE_HANDLE,189229.27883211678,978013.5952380953,5456,1564,454,936,137,151
2025-04-28 18:24:02,DWARVEN_OS_ORE_OATS,0.0,143.55827338129495,0,4563,8932,11940,0,229
2025-04-28 18:24:02,ENCHANTMENT_HARDENED_MANA_1,57541.1653631285,178765.05,8898,75,578,210,118,54
2025-04-28 18:24:02,FULL_CHUM_BUCKET,5101.781257413998,6624.500645802285,115221,75573,127616,116083,40,211
2025-04-28 18:24:02,OVERGROWN_GRASS,41297847.28823529,45523231.945454545,3590,1477,1220,1577,1199,909
2025-04-28 18:24:02,ENCHANTMENT_HARDENED_MANA_3,3150.0665454545456,144963.825,5286,108,575,316,85,63
2025-04-28 18:24:02,PUMPKIN_BOMB,4001.3000000000006,6782.426927650233,938262,92945,140464,146519,29,234
2025-04-28 18:24:02,ENCHANTMENT_HARDENED_MANA_2,2.2,90824.53333333333,314,140,506,178,3,95
2025-04-28 18:24:02,SOULFLOW_ENGINE,18662620.144897956,23799992.7,510,59,67,114,106,10
2025-04-28 18:24:02,ENCHANTMENT_ULTIMATE_COMBO_1,5.615384615384615,4988.28,1556,1396,15100,5410,12,74
2025-04-28 18:24:02,ENCHANTMENT_ULTIMATE_COMBO_2,0.0,7098.9010810810805,0,1795,4246,1736,0,101
2025-04-28 18:24:02,ENCHANTMENT_ULTIMATE_COMBO_5,100000.0,194949.9776699029,857,901,742,1355,16,91
2025-04-28 18:24:02,PET_ITEM_TOY_JERRY,3.1004,6494.711111111112,2992,836,368,258,21,88
2025-04-28 18:24:02,ENCHANTMENT_ULTIMATE_COMBO_3,0.3,0.0,560,0,248,36,4,0
2025-04-28 18:24:02,ENCHANTED_LAVA_BUCKET,127000.77855297156,136222.11121212124,26631,32532,39830,83741,640,1439
2025-04-28 18:24:02,ENCHANTMENT_ULTIMATE_COMBO_4,9992.58,500000.0,1074,32,141,55,18,18
2025-04-28 18:24:02,RAW_FISH:3,7.286274685174585,41.035483870967745,4672887,128623,26453913,950840,88,75
2025-04-28 18:24:02,BUBBA_BLISTER,215825.85960591133,365531.82105263154,8007,1892,1485,2604,483,291
2025-04-28 18:24:02,ENCHANTED_UMBER,8792.05007390983,10124.700559105433,130760,177981,2984460,534585,31,263
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_9,6000000.6,149999999.9,173,2,1,20,39,2
2025-04-28 18:24:02,ENCHANTMENT_STRONG_MANA_8,1800001.4,18000000.0,61,1,4,121,21,1
2025-04-28 18:24:02,ROUGH_AQUAMARINE_GEM,0.5,4.636784228504194,942170,83507761,159171346,514638,15,1220
2025-04-28 18:24:02,DIAMOND_ATOM,39635.10877862595,330848.8956521739,5386,296,619,889,127,101
2025-04-28 18:24:02,RAW_FISH:2,12.2,21.896540907808195,4468724,2203203,28902384,426166,76,158
2025-04-28 18:24:02,HALF_EATEN_MUSHROOM,404.4912165051034,754.953510116493,3659595,632191,2220696,503261,166,485
2025-04-28 18:24:02,PRECURSOR_GEAR,429827.26832,499998.0232558139,27621,1550,16661,23378,795,97
2025-04-28 18:24:02,RAW_FISH:1,4.39616304845009,13.295634476164459,1439015,1071685,47580168,2289441,29,80
2025-04-28 18:24:02,GOBLIN_EGG_RED,77650.29517937219,85116.2011764706,36826,11703,95565,40585,114,224
2025-04-28 18:24:02,TROUBLED_BUBBLE,9300009.97272727,11201232.2,546,18,151,414,275,17
2025-04-28 18:24:02,ENCHANTMENT_TURBO_WARTS_1,0.0,0.3,0,946,7978,2892,0,109
2025-04-28 18:24:02,ENCHANTMENT_TURBO_WARTS_2,0.0,17215.5,0,21,92,43,0,19
2025-04-28 18:24:02,ENCHANTMENT_TURBO_WARTS_3,0.2,101343.6,270,458,38,59,2,138
2025-04-28 18:24:02,ENCHANTMENT_TURBO_WARTS_4,12.0,121500.1,2,17,29,65,1,9
2025-04-28 18:24:02,ENCHANTMENT_TURBO_WARTS_5,2.200389105058366,144999.60833333334,1871,585,33,414,23,114
2025-04-28 18:24:02,WHALE_BAIT,3486.020862899006,4139.314934510029,6078320,7944449,3194963,9665408,572,5148
2025-04-28 18:24:02,SPONGE,35.065952944627185,59.5,4796272,1367039,9509992,454259,94,85
2025-04-28 18:24:02,ENCHANTED_DARK_OAK_LOG,574.605747470003,724.811196627392,2308163,2218537,4908703,3908231,105,505
2025-04-28 18:24:02,FLAWLESS_TOPAZ_GEM,2026186.8815789474,2121840.506451613,3267,1335,6444,7589,106,102
