snapshot_time,product_id,pricePerUnit,amount,orders,tier_rank
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_5,48001.2,80,1,0
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_5,48001.0,26,1,1
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_5,48000.9,1,1,2
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_4,40.1,3,1,0
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_4,30.3,16,1,1
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_4,30.2,16,1,2
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_4,0.2,31,1,3
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_4,0.1,256,1,4
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_3,1000.0,1,1,0
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_3,0.1,1,1,1
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804105.3,400,1,0
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804105.2,93,1,1
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804105.0,64,1,2
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804104.9,16,1,3
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804104.7,730,1,4
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804103.5,9,1,5
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,804103.0,400,1,6
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,801678.4,80,1,7
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,771375.0,79,1,8
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,701000.0,1640,1,9
2025-04-28 18:24:02,ENCHANTED_BLAZE_ROD,434000.0,1,1,10
2025-04-28 18:24:02,ENCHANTMENT_TURBO_COCO_2,0.1,210,1,0
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3500000.2,32,1,0
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3500000.1,64,1,1
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3500000.0,94,1,2
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3460000.1,40,1,3
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3460000.0,7,1,4
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3397383.3,4,1,5
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,3250000.0,64,1,6
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,1351000.1,512,1,7
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,1351000.0,16,1,8
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,1350000.0,512,1,9
2025-04-28 18:24:02,FRESHLY_MINTED_COINS,1300000.0,300,1,10
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1534.0,45047,1,0
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1533.9,8057,1,1
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1533.7,19677,1,2
2025-04-28 18:24:02,ENCHANTED_BROWN_MUSHROOM,1532.5,50273,1,3
